"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"JE2510-0038","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0039","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0040","2025-10-29","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0042","2025-10-29","IDR 137000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25-25/002","2025-10-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25-25/002","2025-10-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/170","2025-10-31","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/171","2025-10-31","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/172","2025-10-31","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/173","2025-10-31","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/175","2025-10-31","IDR 7000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/181","2025-10-31","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/182","2025-10-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/182","2025-10-31","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/182","2025-10-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JE2510-0043","2025-10-31","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0044","2025-10-31","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0045","2025-10-31","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0046","2025-10-31","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0054","2025-10-31","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0055","2025-10-31","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2510-0060","2025-10-31","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/189","2025-11-04","IDR 369300.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0007","2025-11-04","IDR 369300.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/198","2025-11-06","IDR 212000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0016","2025-11-06","IDR 212000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/207","2025-11-10","IDR 18102628.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/208","2025-11-10","IDR 4541288.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/215","2025-11-12","IDR 195000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0031","2025-11-12","IDR 195000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/218","2025-11-13","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0034","2025-11-13","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/223","2025-11-19","IDR 139671.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/224","2025-11-19","IDR 213543.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/225","2025-11-19","IDR 704990.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0039","2025-11-19","IDR 139671.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2511-0040","2025-11-19","IDR 213543.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2511-0041","2025-11-19","IDR 704990.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/236","2025-11-24","IDR 83400.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0052","2025-11-24","IDR 83400.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/242","2025-11-25","IDR 3300000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/243","2025-11-25","IDR 105500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0058","2025-11-25","IDR 3300000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2511-0059","2025-11-25","IDR 105500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/247","2025-11-28","IDR 5000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0063","2025-11-28","IDR 5000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25-25/003","2025-11-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25-25/003","2025-11-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/251","2025-11-30","IDR 4500000.00","Stored expense metadata conflicts with its unique reconciliation bank line; neither side was overwritten","Accountant confirmation of the correct bank account and transaction currency"
"EXP/25/252","2025-11-30","IDR 30000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/253","2025-11-30","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/253","2025-11-30","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/253","2025-11-30","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JE2511-0068","2025-11-30","IDR 30000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2511-0069","2025-11-30","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2511-0075","2025-11-30","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/256","2025-12-01","IDR 3800000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/257","2025-12-01","IDR 1285000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/258","2025-12-01","IDR 3000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/259","2025-12-01","IDR 3000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/260","2025-12-01","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2511-0067","2025-12-01","IDR 4500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0072","2025-12-01","IDR 3800000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0073","2025-12-01","IDR 1285000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0074","2025-12-01","IDR 3000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0075","2025-12-01","IDR 3000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0076","2025-12-01","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/261","2025-12-02","IDR 100000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/264","2025-12-02","IDR 150000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0080","2025-12-02","IDR 150000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/265","2025-12-03","IDR 174000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/267","2025-12-04","IDR 250000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0083","2025-12-04","IDR 250000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/268","2025-12-08","IDR 55000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/269","2025-12-08","IDR 20000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/270","2025-12-08","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/271","2025-12-08","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/272","2025-12-08","IDR 600000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0084","2025-12-08","IDR 55000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0085","2025-12-08","IDR 20000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0086","2025-12-08","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0087","2025-12-08","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0088","2025-12-08","IDR 600000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/276","2025-12-15","IDR 402600.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/277","2025-12-15","IDR 8000000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/278","2025-12-15","IDR 1250000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/279","2025-12-15","IDR 300000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/280","2025-12-15","IDR 465280.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/281","2025-12-15","IDR 375000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0094","2025-12-15","IDR 1250000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0096","2025-12-15","IDR 465280.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0097","2025-12-15","IDR 375000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/282","2025-12-16","IDR 50000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/283","2025-12-16","IDR 391000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/284","2025-12-16","IDR 50000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0099","2025-12-16","IDR 391000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0100","2025-12-16","IDR 50000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/289","2025-12-19","IDR 810000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/290","2025-12-19","IDR 2500.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/291","2025-12-19","USD 1.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/291","2025-12-19","USD 1.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/291","2025-12-19","USD 1.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"JE2512-0092","2025-12-19","IDR 402600.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0105","2025-12-19","IDR 810000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0106","2025-12-19","IDR 2500.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0107","2025-12-19","USD 1.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"PV/25-26/003","2025-12-22","USD 40000.00","Stored payment metadata conflicts with its unique reconciliation bank line; neither side was overwritten","Accountant confirmation of the correct paying bank and payment currency"
"EXP/25/294","2025-12-23","IDR 7845000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/295","2025-12-23","IDR 835000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/296","2025-12-23","IDR 683633.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0110","2025-12-23","IDR 7845000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0111","2025-12-23","IDR 835000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0112","2025-12-23","IDR 683633.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/298","2025-12-24","IDR 100000.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/300","2025-12-29","IDR 280000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0116","2025-12-29","IDR 280000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/301","2025-12-30","IDR 4500000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/302","2025-12-30","IDR 370000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0117","2025-12-30","IDR 4500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0118","2025-12-30","IDR 370000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0120","2025-12-30","IDR 3800000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0121","2025-12-30","IDR 3000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0123","2025-12-30","IDR 3500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0125","2025-12-30","IDR 3000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0126","2025-12-30","IDR 5000000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"EXP/25/303","2025-12-31","IDR 3500000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/304","2025-12-31","IDR 3000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/306","2025-12-31","IDR 3800000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/307","2025-12-31","IDR 5000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/308","2025-12-31","IDR 3000000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/310","2025-12-31","IDR 425000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/312","2025-12-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/25/312","2025-12-31","USD 5.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"EXP/25/312","2025-12-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/25/313","2025-12-31","IDR 2500000.00","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document"
"JE2512-0127","2025-12-31","IDR 425000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0135","2025-12-31","IDR 2500000.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2512-0137","2025-12-31","USD 5.00","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account"
"JE2606-0063","2026-01-07","IDR 500000.00","Bank line has multiple typed document links and the authoritative source cannot be proven automatically","Confirm the single authoritative source document and manually relink the bank line"
"FT2601-0024","2026-01-13","USD 500.00","Legacy USD-source Contra stored the USD source amount in functional GL columns; posted values were not rewritten","Accountant approval of the historical USD-to-IDR rate and a controlled correcting/reversal entry"
"EXP/26-26/076","2026-01-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
"EXP/26-26/076","2026-01-31","USD 5.00","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date"
"EXP/26-26/077","2026-01-31","USD 5.00","No unique authoritative relationship exists in stored data","Transaction currency, historical exchange rate with source/date, exact payment method, and/or paying bank account"
